"M","Simbad  ","HST     ","NED     ","DSS     ","IRAS    ","GSC     ","Light curves","Charts","Object          ","RA          ","DEC         ","Parallax (mas)  ","Err(Parallax) (mas) ","(B-V)   ","Err(B-V)","Mag(hipp","Err(Mag_hipp)",
"M","S","H","N","D","I","G","N/A         ","N/A   ","204             ","00 02 34.820","-43 56 52.489","2.53            ","1                   ","1.274   ","0.018   ","8.6903  ","0.0015       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","646             ","00 07 59.344","-18 41 04.949","3.64            ","0.94                ","1.271   ","0.014   ","7.7416  ","0.0013       ",
"M","S","H","N","D","I","G","N/A         ","C","901             ","00 11 06.901","+26 20 16.671","-0.33           ","1.6                 ","1.269   ","0.121   ","10.4591 ","0.0026       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","978             ","00 12 06.077","+39 02 20.075","2.97            ","0.97                ","1.269   ","0.014   ","8.3571  ","0.0011       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","1287            ","00 16 08.112","-37 33 41.540","0.02            ","1.35                ","1.267   ","0.031   ","9.2694  ","0.002        ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","2304            ","00 29 23.124","-40 39 55.484","2.82            ","0.74                ","1.273   ","0.007   ","6.9746  ","0.0008       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","2490            ","00 31 36.089","+16 01 15.658","4.12            ","0.76                ","1.267   ","0.009   ","7.049   ","0.001        ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","2571            ","00 32 38.249","-14 54 02.125","1.45            ","1.53                ","1.272   ","0.02    ","9.6975  ","0.0021       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","2618            ","00 33 14.302","-10 43 42.660","2.88            ","1.46                ","1.269   ","0.032   ","9.6207  ","0.0082       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","2750            ","00 35 05.154","+39 10 04.679","1.83            ","1.54                ","1.27    ","0.015   ","8.6629  ","0.0104       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","2922            ","00 37 01.562","+55 13 02.141","2.21            ","0.85                ","1.266   ","0.218   ","7.4811  ","0.001        ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","3005            ","00 38 13.230","+37 37 51.730","1.87            ","1.23                ","1.267   ","0.042   ","9.1296  ","0.0022       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","3048            ","00 38 44.305","-49 29 58.214","4.54            ","1.24                ","1.273   ","0.02    ","9.0131  ","0.0024       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","3067            ","00 38 55.201","+27 42 54.556","2.52            ","1.13                ","1.267   ","0.04    ","8.898   ","0.0016       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","3092            ","00 39 19.597","+30 51 40.413","32.19           ","0.68                ","1.268   ","0.04    ","3.4328  ","0.0005       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","3105            ","00 39 33.010","-29 49 12.616","1.71            ","0.96                ","1.274   ","0.017   ","7.9949  ","0.0018       ",
"M","S","H","N","D","I","G","N/A         ","C","3243            ","00 41 15.193","-52 19 01.942","22.95           ","3.02                ","1.27    ","0.04    ","10.9481 ","0.0044       ",
"M","S","H","N","D","I","G","N/A         ","C","3280            ","00 41 48.775","+18 19 35.611","19.15           ","2.1                 ","1.27    ","0.015   ","11.0554 ","0.0052       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","3751            ","00 48 09.385","+35 44 18.011","4.52            ","1.18                ","1.27    ","0.02    ","8.8259  ","0.0015       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","4104            ","00 52 40.601","-24 00 21.332","6.52            ","0.91                ","1.275   ","0.005   ","5.6191  ","0.0007       ",
"M","S","H","N","D","I","G","N/A         ","N/A   ","4250            ","00 54 11.975","-40 22 18.872","-0.24           ","1.17                ","1.269   ","0.023   ","9.0662  ","0.0019       ",
